datetime,open,high,low,close,volume
2025-09-30 03:45:00,21.55,22.55,19.8,20.25,474000
2025-09-30 04:00:00,20.25,20.85,18.95,19.05,318750
2025-09-30 04:15:00,19.15,19.35,18.75,19.0,261000
2025-09-30 04:30:00,19.0,19.9,18.4,19.9,270750
2025-09-30 04:45:00,19.9,19.9,18.9,19.5,93000
2025-09-30 05:00:00,19.5,20.5,19.5,20.05,105000
2025-09-30 05:15:00,20.05,20.55,19.8,20.1,114750
2025-09-30 05:30:00,20.1,20.1,19.4,19.55,65250
2025-09-30 05:45:00,19.55,19.85,19.35,19.55,87750
2025-09-30 06:00:00,19.55,19.65,18.8,19.2,87000
2025-09-30 06:15:00,19.3,19.7,19.1,19.7,53250
2025-09-30 06:30:00,19.7,19.7,18.75,19.35,65250
2025-09-30 06:45:00,19.35,19.35,18.75,19.05,42000
2025-09-30 07:00:00,19.05,19.15,18.3,18.65,112500
2025-09-30 07:15:00,18.65,18.95,18.4,18.85,147000
2025-09-30 07:30:00,18.9,19.65,18.85,19.45,178500
2025-09-30 07:45:00,19.45,20.35,19.05,20.15,216750
2025-09-30 08:00:00,20.15,20.6,20.0,20.25,157500
2025-09-30 08:15:00,20.2,20.3,19.3,19.5,102000
2025-09-30 08:30:00,19.5,19.95,19.2,19.65,83250
2025-09-30 08:45:00,19.55,20.0,19.15,19.35,63000
2025-09-30 09:00:00,19.35,19.85,19.05,19.3,77250
2025-09-30 09:15:00,19.3,19.45,18.75,19.05,174000
2025-09-30 09:30:00,19.05,20.5,19.05,19.95,114750
2025-09-30 09:45:00,19.95,20.25,19.75,19.75,105750
2025-10-01 03:45:00,20.25,21.0,18.25,20.75,277500
2025-10-01 04:00:00,20.8,20.95,19.5,19.9,138000
2025-10-01 04:15:00,19.9,20.4,19.6,20.3,93000
2025-10-01 04:30:00,20.3,21.95,19.4,19.5,322500
2025-10-01 04:45:00,20.0,22.2,19.9,21.95,152250
2025-10-01 05:00:00,22.05,22.5,21.0,21.45,141000
2025-10-01 05:15:00,21.45,22.25,20.4,22.0,90750
2025-10-01 05:30:00,22.0,22.65,21.6,21.85,117750
2025-10-01 05:45:00,21.85,22.65,21.1,22.15,127500
2025-10-01 06:00:00,22.15,22.9,21.8,21.8,105000
2025-10-01 06:15:00,21.8,22.45,21.65,21.65,54000
2025-10-01 06:30:00,21.65,22.7,21.65,22.35,32250
2025-10-01 06:45:00,22.35,22.35,21.45,21.65,46500
2025-10-01 07:00:00,21.65,21.95,20.1,20.75,50250
2025-10-01 07:15:00,20.75,21.8,20.4,21.8,90750
2025-10-01 07:30:00,21.8,21.9,19.95,20.35,121500
2025-10-01 07:45:00,20.25,20.95,20.0,20.5,99750
2025-10-01 08:00:00,20.5,21.0,19.5,19.7,103500
2025-10-01 08:15:00,19.7,19.7,18.45,19.0,144750
2025-10-01 08:30:00,19.0,20.15,18.7,20.0,87750
2025-10-01 08:45:00,20.0,20.9,19.65,20.7,163500
2025-10-01 09:00:00,20.7,21.0,20.2,20.7,112500
2025-10-01 09:15:00,20.7,21.6,20.6,21.5,65250
2025-10-01 09:30:00,21.5,22.75,21.15,22.35,126750
2025-10-01 09:45:00,22.3,22.35,21.0,21.0,53250
2025-10-03 03:45:00,20.9,22.0,19.3,20.5,216000
