date,open,high,low,close,volume
2025-08-01,795.7,801.0,792.0,794.0,15468391
2025-08-04,794.5,797.2,786.55,795.7,8820724
2025-08-05,798.0,804.05,796.3,800.6,7381537
2025-08-06,800.95,810.2,799.0,805.15,7409396
2025-08-07,801.1,806.65,793.4,805.15,7091392
2025-08-08,805.0,807.8,790.0,804.3,15708181
2025-08-11,808.0,825.0,808.0,823.45,15236297
2025-08-12,824.95,825.5,820.0,820.6,7986728
2025-08-13,822.65,824.95,820.65,821.85,4447508
2025-08-14,822.0,828.0,819.1,826.55,7087573
2025-08-18,836.0,838.0,825.15,827.65,6138124
2025-08-19,827.5,831.0,825.8,830.4,5076681
2025-08-20,828.7,831.9,827.4,828.95,4493888
2025-08-21,828.95,833.25,824.05,825.7,4402511
2025-08-22,824.0,826.0,815.7,816.25,5097647
2025-08-25,817.45,820.5,814.2,816.45,5672898
2025-08-26,814.85,815.85,806.75,807.85,6997817
2025-08-28,807.25,811.0,800.65,801.95,7898436
2025-08-29,800.7,806.7,798.5,802.5,6861440
