datetime,open,high,low,close,volume
2025-10-01 09:30:00,469.35,471.4,468.9,470.75,600
2025-10-01 09:45:00,470.75,470.75,470.75,470.75,0
2025-10-03 09:15:00,428.05,428.05,428.05,428.05,75
2025-10-03 09:30:00,428.05,428.05,428.05,428.05,0
2025-10-03 09:45:00,428.05,428.05,428.05,428.05,0
2025-10-06 09:00:00,292.65,292.65,292.65,292.65,225
2025-10-06 09:15:00,292.65,293.0,280.5,280.5,1200
2025-10-06 09:30:00,280.5,282.2,274.45,275.45,825
2025-10-06 09:45:00,275.45,279.95,271.45,273.55,1125
2025-10-07 03:45:00,261.5,269.8,261.5,269.8,4800
2025-10-07 04:00:00,269.8,269.8,249.25,249.25,150
2025-10-07 04:15:00,249.25,249.25,217.35,224.55,900
2025-10-07 04:30:00,224.55,224.55,213.7,215.15,675
2025-10-07 04:45:00,215.15,224.0,215.15,224.0,375
2025-10-07 05:00:00,224.0,224.0,221.0,221.0,75
2025-10-07 05:15:00,221.0,230.0,221.0,230.0,150
2025-10-07 05:30:00,230.0,230.0,230.0,230.0,0
2025-10-07 05:45:00,230.0,250.0,230.0,250.0,75
2025-10-07 06:00:00,250.0,254.0,250.0,252.85,150
2025-10-07 06:15:00,252.85,252.85,252.85,252.85,0
2025-10-07 06:30:00,252.85,252.85,226.55,227.95,450
2025-10-07 06:45:00,227.95,238.3,227.95,233.65,450
2025-10-07 07:00:00,233.65,233.65,227.15,227.15,150
2025-10-07 07:15:00,227.15,227.15,219.0,219.0,75
2025-10-07 07:30:00,219.0,219.0,208.25,208.5,450
2025-10-07 07:45:00,208.5,208.5,205.0,205.2,375
2025-10-07 08:00:00,206.1,214.7,197.0,197.0,675
2025-10-07 08:15:00,194.0,204.55,191.6,204.55,1350
2025-10-07 08:30:00,204.55,207.4,202.6,202.6,2475
2025-10-07 08:45:00,202.6,224.0,202.6,222.55,3450
2025-10-07 09:00:00,222.55,238.4,221.75,236.5,1350
2025-10-07 09:15:00,236.5,236.5,220.45,227.0,825
2025-10-07 09:30:00,227.0,245.15,227.0,240.0,300
2025-10-07 09:45:00,240.0,246.35,239.75,239.75,1725
2025-10-08 03:45:00,255.35,263.2,209.5,209.5,19050
2025-10-08 04:00:00,209.5,217.4,204.2,206.8,5025
2025-10-08 04:15:00,206.8,230.75,206.8,217.6,3525
2025-10-08 04:30:00,217.6,227.5,217.6,222.4,1275
2025-10-08 04:45:00,222.4,249.0,222.4,237.05,5325
2025-10-08 05:00:00,237.05,255.7,237.05,242.75,4800
2025-10-08 05:15:00,242.75,282.15,242.75,281.55,4200
2025-10-08 05:30:00,281.55,311.2,277.7,311.2,8250
2025-10-08 05:45:00,311.2,330.4,305.95,311.5,6600
2025-10-08 06:00:00,311.5,323.0,303.6,303.6,1725
2025-10-08 06:15:00,316.45,318.1,295.2,303.95,1125
2025-10-08 06:30:00,303.95,324.05,303.95,308.25,825
2025-10-08 06:45:00,308.25,344.2,308.25,328.55,3450
2025-10-08 07:00:00,328.55,336.65,322.15,322.15,300
2025-10-08 07:15:00,322.15,322.15,280.0,280.0,3225
2025-10-08 07:30:00,280.0,288.95,264.0,268.5,3375
2025-10-08 07:45:00,268.5,276.7,257.25,265.0,4950
2025-10-08 08:00:00,265.0,270.55,244.85,252.55,3450
2025-10-08 08:15:00,252.55,253.65,244.2,244.2,2775
2025-10-08 08:30:00,244.2,291.75,240.75,286.75,18975
2025-10-08 08:45:00,286.75,295.8,285.8,294.45,3900
2025-10-08 09:00:00,294.45,307.2,288.8,299.1,1575
2025-10-08 09:15:00,299.1,319.65,294.95,311.65,6675
2025-10-08 09:30:00,311.65,330.4,305.45,325.4,4800
2025-10-08 09:45:00,324.6,324.6,309.5,317.65,5475
2025-10-09 03:45:00,305.9,305.9,258.65,258.65,3900
2025-10-09 04:00:00,257.5,277.8,253.25,277.0,4125
2025-10-09 04:15:00,277.0,304.2,277.0,298.2,12600
2025-10-09 04:30:00,298.2,310.3,292.65,310.05,1275
2025-10-09 04:45:00,310.05,310.05,266.2,268.75,9600
2025-10-09 05:00:00,269.1,269.35,249.0,256.75,8100
2025-10-09 05:15:00,253.05,268.5,250.0,250.4,4125
2025-10-09 05:30:00,250.4,250.4,213.2,213.45,14775
2025-10-09 05:45:00,213.45,225.0,213.0,216.65,3900
2025-10-09 06:00:00,216.65,216.65,199.85,211.2,4650
2025-10-09 06:15:00,209.2,220.5,202.95,215.8,3300
2025-10-09 06:30:00,215.8,231.8,213.05,216.3,4350
2025-10-09 06:45:00,216.3,218.8,205.95,218.7,3150
2025-10-09 07:00:00,218.7,226.45,213.45,222.2,2100
2025-10-09 07:15:00,222.2,222.9,214.3,219.5,750
2025-10-09 07:30:00,219.5,229.7,219.5,227.25,1275
2025-10-09 07:45:00,227.25,227.25,213.5,214.15,1875
2025-10-09 08:00:00,215.7,218.6,206.6,215.4,3450
2025-10-09 08:15:00,215.4,215.9,204.8,205.0,6975
2025-10-09 08:30:00,205.0,217.05,199.85,217.05,4350
2025-10-09 08:45:00,216.5,236.45,215.0,231.8,13350
2025-10-09 09:00:00,231.8,231.8,215.6,216.9,5475
2025-10-09 09:15:00,216.9,221.4,206.4,207.2,4500
2025-10-09 09:30:00,205.0,206.15,195.55,206.15,18150
2025-10-09 09:45:00,206.4,206.4,197.0,198.8,17700
2025-10-10 03:45:00,201.1,203.55,161.15,161.15,52200
2025-10-10 04:00:00,163.5,163.5,144.95,145.6,48825
2025-10-10 04:15:00,144.95,148.8,138.5,144.5,113775
2025-10-10 04:30:00,143.55,150.0,137.0,143.85,42375
2025-10-10 04:45:00,142.4,142.75,127.25,136.35,104625
2025-10-10 05:00:00,135.75,143.05,130.45,142.55,27825
2025-10-10 05:15:00,141.6,143.0,121.05,124.65,46425
2025-10-10 05:30:00,124.7,128.4,116.55,116.7,76725
2025-10-10 05:45:00,116.6,126.65,115.35,124.9,66150
2025-10-10 06:00:00,124.9,130.8,123.0,123.85,43425
2025-10-10 06:15:00,123.85,130.0,122.45,126.0,22725
2025-10-10 06:30:00,124.2,132.35,120.0,123.75,41625
2025-10-10 06:45:00,123.75,127.0,119.65,121.9,19575
2025-10-10 07:00:00,121.9,128.9,117.05,117.45,17925
2025-10-10 07:15:00,117.45,122.0,115.0,117.45,67950
2025-10-10 07:30:00,117.0,123.05,115.7,119.35,50250
2025-10-10 07:45:00,119.35,123.75,116.05,117.55,45750
2025-10-10 08:00:00,117.55,118.85,107.9,113.55,148725
2025-10-10 08:15:00,113.15,116.5,109.05,116.15,81900
2025-10-10 08:30:00,116.1,120.15,113.85,117.05,87300
2025-10-10 08:45:00,117.05,123.85,113.05,116.8,45675
2025-10-10 09:00:00,116.8,121.35,114.95,117.5,71625
2025-10-10 09:15:00,118.65,125.7,115.4,116.9,63900
2025-10-10 09:30:00,116.4,125.8,116.4,124.35,112650
2025-10-10 09:45:00,124.45,124.45,117.45,121.55,149475
2025-10-13 03:45:00,159.25,206.2,159.15,201.45,232650
2025-10-13 04:00:00,203.0,228.65,190.35,193.9,160350
2025-10-13 04:15:00,193.75,206.05,180.0,198.6,68775
2025-10-13 04:30:00,195.0,212.1,194.0,199.35,40950
2025-10-13 04:45:00,199.35,215.5,197.2,197.6,33975
2025-10-13 05:00:00,197.55,199.0,189.0,198.15,23925
2025-10-13 05:15:00,198.15,212.65,196.05,208.4,56100
2025-10-13 05:30:00,208.4,214.1,204.4,209.85,11175
2025-10-13 05:45:00,209.85,231.95,208.8,217.0,65250
2025-10-13 06:00:00,217.0,222.0,213.05,219.6,13725
2025-10-13 06:15:00,220.0,225.3,206.2,206.2,24975
2025-10-13 06:30:00,203.75,213.25,202.7,206.6,12825
2025-10-13 06:45:00,206.6,215.2,206.0,207.3,9750
2025-10-13 07:00:00,207.3,214.0,202.65,203.75,12150
