datetime,open,high,low,close,volume
2025-10-08 03:45:00,26.55,26.8,23.7,25.75,200250
2025-10-08 04:00:00,25.75,26.5,24.7,26.5,48000
2025-10-08 04:15:00,26.5,26.7,24.1,26.7,87750
2025-10-08 04:30:00,25.9,28.3,25.9,26.3,77250
2025-10-08 04:45:00,26.3,26.7,25.5,26.6,48750
2025-10-08 05:00:00,26.6,27.2,26.25,26.25,47250
2025-10-08 05:15:00,26.25,26.25,23.55,23.55,62250
2025-10-08 05:30:00,23.55,23.75,21.45,21.6,105000
2025-10-08 05:45:00,21.6,22.65,20.75,22.45,69750
2025-10-08 06:00:00,22.45,22.85,22.0,22.7,85500
2025-10-08 06:15:00,22.7,23.3,22.6,23.0,43500
2025-10-08 06:30:00,23.0,23.05,21.9,22.25,30750
2025-10-08 06:45:00,22.25,22.6,21.45,21.8,37500
2025-10-08 07:00:00,21.8,22.25,21.2,22.0,33750
2025-10-08 07:15:00,22.0,24.1,22.0,23.5,75000
2025-10-08 07:30:00,23.5,24.05,23.15,23.6,24000
2025-10-08 07:45:00,23.6,24.1,23.0,23.0,84750
2025-10-08 08:00:00,23.0,25.05,23.0,24.3,57750
2025-10-08 08:15:00,24.3,24.8,24.05,24.55,38250
2025-10-08 08:30:00,24.55,24.9,22.55,23.1,48750
2025-10-08 08:45:00,23.1,23.4,22.6,22.95,38250
2025-10-08 09:00:00,22.95,22.95,22.05,22.05,19500
2025-10-08 09:15:00,22.05,22.25,21.6,21.9,80250
2025-10-08 09:30:00,21.9,22.1,21.55,21.75,46500
2025-10-08 09:45:00,21.75,22.25,21.25,21.35,105000
2025-10-09 03:45:00,22.25,23.85,21.0,23.2,152250
2025-10-09 04:00:00,23.2,23.3,22.4,22.4,53250
2025-10-09 04:15:00,22.4,23.05,21.9,22.3,42750
2025-10-09 04:30:00,22.65,22.65,21.75,22.45,43500
2025-10-09 04:45:00,22.45,23.65,22.4,23.0,58500
2025-10-09 05:00:00,23.0,23.3,22.75,23.2,36000
2025-10-09 05:15:00,23.2,23.3,22.25,22.6,25500
2025-10-09 05:30:00,22.6,23.25,21.5,22.7,107250
2025-10-09 05:45:00,22.7,24.7,22.7,24.45,117000
2025-10-09 06:00:00,24.45,25.5,23.95,25.4,75750
2025-10-09 06:15:00,25.4,26.4,24.2,24.25,71250
2025-10-09 06:30:00,24.25,24.45,23.75,23.75,30750
2025-10-09 06:45:00,23.75,23.95,23.2,23.2,38250
2025-10-09 07:00:00,23.2,23.4,22.2,22.55,42750
2025-10-09 07:15:00,22.55,23.25,22.55,22.85,38250
2025-10-09 07:30:00,22.85,23.5,22.65,22.85,44250
2025-10-09 07:45:00,22.85,22.9,22.35,22.7,36000
2025-10-09 08:00:00,22.7,23.3,22.65,22.75,24000
2025-10-09 08:15:00,22.75,23.3,22.7,23.0,39000
2025-10-09 08:30:00,23.0,26.0,23.0,23.2,77250
2025-10-09 08:45:00,23.2,23.2,22.75,22.8,29250
2025-10-09 09:00:00,22.8,24.0,22.8,23.9,13500
2025-10-09 09:15:00,23.9,23.9,23.25,23.75,22500
2025-10-09 09:30:00,23.75,24.2,23.55,23.65,37500
2025-10-09 09:45:00,23.65,24.1,23.6,23.9,72000
2025-10-10 03:45:00,23.9,29.55,23.3,28.9,177750
2025-10-10 04:00:00,28.9,30.45,28.1,29.15,81750
2025-10-10 04:15:00,29.15,30.5,28.5,30.35,84000
2025-10-10 04:30:00,30.35,37.05,30.35,37.0,260250
2025-10-10 04:45:00,37.0,37.3,35.25,36.9,60000
2025-10-10 05:00:00,36.85,39.8,36.85,39.55,120000
2025-10-10 05:15:00,39.55,39.8,38.9,39.4,59250
2025-10-10 05:30:00,39.4,40.1,36.3,36.8,48000
2025-10-10 05:45:00,36.8,37.9,36.6,36.85,33750
2025-10-10 06:00:00,36.85,38.05,36.2,37.25,17250
2025-10-10 06:15:00,37.25,38.75,37.25,38.75,27000
2025-10-10 06:30:00,38.9,39.4,38.0,39.25,41250
2025-10-10 06:45:00,39.25,39.5,37.8,37.8,25500
2025-10-10 07:00:00,37.8,38.0,37.7,37.7,9750
2025-10-10 07:15:00,37.7,39.15,37.7,39.15,21000
2025-10-10 07:30:00,39.15,40.0,37.6,37.6,57000
2025-10-10 07:45:00,37.6,38.1,37.15,37.5,12750
2025-10-10 08:00:00,37.5,38.45,37.5,38.45,3750
2025-10-10 08:15:00,38.45,38.45,37.0,37.0,1500
2025-10-10 08:30:00,37.0,37.0,36.0,36.35,9750
2025-10-10 08:45:00,36.35,36.45,35.75,36.2,6750
2025-10-10 09:00:00,36.2,36.4,35.9,36.15,4500
